nombreEstacion,CodigoNacional
"Chacalluta, Arica Ap.",180005.0
Putre,180017.0
Diego Aracena Iquique Ap.,200006.0
"El Loa, Calama Ad.",220002.0
Mataveri  Isla de Pascua Ap.,270001.0
"Desierto de Atacama, Caldera  Ad.",270008.0
Copiapó Universidad de Atacama,270009.0
Freirina Nicolasa,280010.0
"La Florida, La Serena Ad.",290004.0
"Vicuña, Parque Los Pimientos",300046.0
Liceo Samuel Román Rojas (Combarbalá),310024.0
San Felipe Escuela Agrícola,320019.0
Viña del Mar  Ad. (Torquemada),320041.0
Los Libertadores,320051.0
"Rodelillo, Ad.",330007.0
"Eulogio Sánchez, Tobalaba Ad.",330019.0
"Quinta Normal, Santiago",330020.0
Pudahuel Santiago ,330021.0
"Santo Domingo, Ad.",330030.0
"Juan Fernández, Estación Meteorológica.",330031.0
El Colorado,330077.0
Lo Prado Cerro San Francisco,330111.0
San José  Guayacán,330112.0
El Paico,330113.0
"General Freire, Curicó Ad.",340031.0
Rancagua,340045.0
"General Bernardo O'Higgins, Chillán Ad.",360011.0
"Carriel Sur, Concepción Ap.",360019.0
Termas de Chillán,360042.0
Retiro Copihue,360047.0
"María Dolores, Los Angeles Ad.",370033.0
"Maquehue, Temuco Ad.",380013.0
La Araucanía Ad.,380029.0
Victoria (Reg.),380063.0
"Pichoy, Valdivia Ad.",390006.0
"Cañal Bajo,  Osorno Ad.",400009.0
El Tepual  Puerto Montt Ap.,410005.0
Quellón Ad.,430001.0
Futaleufú Ad.,430002.0
Melinka Ad.,430009.0
Puerto Aysén Ad.,450001.0
"Teniente Vidal, Coyhaique Ad.",450004.0
Balmaceda Ad.,450005.0
"Teniente Gallardo, Puerto Natales Ad.",510005.0
"Carlos Ibañez, Punta Arenas Ap.",520006.0
Instituto de la Patagonia (Jorge Schytte),520012.0
"Fuentes Martínez, Porvenir Ad.",530005.0
"Guardiamarina Zañartu, Pto Williams Ad.",550001.0
"C.M.A. Eduardo Frei Montalva, Antártica ",950001.0
